Александр: Александрович, Александровна
Юлиан: Юлианович, Юлиановна
Яков: Яковлевич, Яковлевна
Ярополк: Ярополкович, Ярополковна
Адам: Адамович, Адамовна
Адриан: Адрианович, Адриановна
Альберт: Альбертович, Альбертовна
Амос: Амосович, Амосовна
Ананий: Ананьевич, Ананьевна
Андроник: Андроникович, Андрониковна
Анисим: Анисимович, Анисимовна
Антип: Антипович, Антиповна
Аполлинарий: Аполлинариевич, Аполлинариевна
Арий: Ариевич, Ариевна
Арнольд: Арнольдович, Арнольдовна
Артемий: Артемьевич, Артемьевна
Архип: Архипович, Архиповна
Афанасий: Афанасьевич, Афанасьевна
Болеслав: Болеславович, Болеславовна
Вацлав: Вацлавович, Вацлавовна
Велимир: Велимирович, Велимировна
Вениамин: Вениаминович, Вениаминовна
Вилен: Виленович, Виленовна
Виссарион: Виссарионович, Виссарионовна
Владлен: Владленович, Владленовна
Вольдемар: Вольдемарович, Вольдемаровна
Гавриил: Гавриилович, Гаврииловна
Гарри: Гарриевич, Гарриевна
Геннадий: Геннадьевич, Геннадьевна
Генрих: Генрихович, Генриховна
Гораций: Горациевич, Горациевна
Добрыня: Добрынич, Добрынична
Дорофей: Дорофеевич, Дорофеевна
Елисей: Елисеевич, Елисеевна
Емельян: Емельянович, Емельяновна
Еремей: Еремеевич, Еремеевна
Ефим: Ефимович, Ефимовна
Ждан: Жданович, Ждановна
Захария: Захариевич, Захариевна
Зенон: Зенонович, Зеноновна
Иероним: Иеронимович, Иеронимовна
Измаил: Измаилович, Измаиловна
Изот: Изотович, Изотовна
Изяслав: Изяславович, Изяславовна
Илиан: Илианович, Илиановна
Иоанн: Иоаннович, Иоанновна
Иосиф: Иосифович, Иосифовна
Ираклий: Ираклиевич, Ираклиевна
Карл: Карлович, Карловна
Ким: Кимович, Кимовна
Клим: Климович, Климовна
Климент: Климентьевич, Климентьевна
Корней: Корнеевич, Корнеевна
Ксенофонт: Ксенофонтович, Ксенофонтовна
Кузьма: Кузьмич, Кузьминична
Лавр: Лаврович, Лавровна
Лукьян: Лукьянович, Лукьяновна
Любомир: Любомирович, Любомировна
Марат: Маратович, Маратовна
Мартин: Мартинович, Мартиновна
Мстислав: Мстиславович, Мстиславовна
Нестер: Нестерович, Нестеровна
Никанор: Никанорович, Никаноровна
Никодим: Никодимович, Никодимовна
Никон: Никонович, Никоновна
Осип: Осипович, Осиповна
Оскар: Оскарович, Оскаровна
Пантелеймон: Пантелеймонович, Пантелеймоновна
Парамон: Парамонович, Парамоновна
Парфен: Парфенович, Парфеновна
Пимон: Пимонович, Пимоновна
Поликарп: Поликарпович, Поликарповна
Ратмир: Ратмирович, Ратмировна
Ренат: Ренатович, Ренатовна
Рюрик: Рюрикович, Рюриковна
Серафим: Серафимович, Серафимовна
Сергий: Сергиевич, Сергиевна
Теодор: Теодорович, Теодоровна
Тит: Титович, Титовна
Фаддей: Фаддеевич, Фаддеевна
Феликс: Феликсович, Феликсовна
Флор: Флорович, Флоровна
Христофор: Христофорович, Христофоровна
Эммануил: Эммануилович, Эммануиловна
Якуб: Якубович, Якубовна
